=== ALL 51 scenic POIs ===
  杭州基督教会崇一堂 | rating=4.7
  梦想小镇 | rating=4.7
  北支江公园 | rating=4.5
  马一浮纪念馆 | rating=4.3
  包公殿 | rating=4.3
  湘湖雅韵公园 | rating=4.3
  广福禅寺 | rating=4.2
  杭州西湖风景名胜区-盖叫天故居 | rating=4.2
  北山公园-萧山区烈士纪念碑 | rating=4.2
  江南春公园 | rating=4.2
  杭州湿地植物园 | rating=4.2
  青少年宫码头 | rating=4.2
  白鸟村文化小广场 | rating=4.1
  渌渚镇孝子湾文化公园 | rating=4.1
  临安区龙门寺 | rating=4.1
  相公寺 | rating=4.1
  吉祥禅寺 | rating=4.1
  高氏宗祠 | rating=4.1
  新浦沿村文化生态公园 | rating=4.1
  化成寺 | rating=4.1
  石盂寺 | rating=4.1
  武坊 | rating=4.1
  龙井八景茶行 | rating=4.1
  灵古寺 | rating=4.1
  基督教堂 | rating=4.0
  雷山庙 | rating=4.0
  梵天寺 | rating=4.0
  桃北新村文化广场 | rating=4.0
  日中不再战纪念碑 | rating=4.0
  宝寿寺 | rating=4.0
  乾元基督教堂 | rating=4.0
  新湾公园 | rating=4.0
  杭州西湖风景名胜区-虎跑梦泉 | rating=4.0
  吉祥寺 | rating=4.0
  关帝庙 | rating=4.0
  瑞六禅寺 | rating=3.9
  永寿寺 | rating=3.9
  黄杜庙 | rating=3.9
  和美文化广场 | rating=3.9
  河庄街道群建村文化广场 | rating=3.9
  谢家溪耶稣堂 | rating=3.9
  施姑山寺 | rating=3.8
  蔡东藩故居陈列馆 | rating=3.8
  天主堂 | rating=3.8
  金佛寺 | rating=3.8
  古白庙 | rating=3.8
  三方庙 | rating=3.8
  马鞍基督教堂 | rating=3.8
  杭州半山国家森林公园-半山观桃 | rating=3.7
  东圣寺 | rating=3.6
  岑山庙 | rating=3.6
